photo_by,filename,fullpath,r_vertical_mean,r_vertical_variance,r_vertical_skewness,r_vertical_kurtosis,g_vertical_mean,g_vertical_variance,g_vertical_skewness,g_vertical_kurtosis,b_vertical_mean,b_vertical_variance,b_vertical_skewness,b_vertical_kurtosis,r_horizontal_mean,r_horizontal_variance,r_horizontal_skewness,r_horizontal_kurtosis,g_horizontal_mean,g_horizontal_variance,g_horizontal_skewness,g_horizontal_kurtosis,b_horizontal_mean,b_horizontal_variance,b_horizontal_skewness,b_horizontal_kurtosis,r_diagonal_mean,r_diagonal_variance,r_diagonal_skewness,r_diagonal_kurtosis,g_diagonal_mean,g_diagonal_variance,g_diagonal_skewness,g_diagonal_kurtosis,b_diagonal_mean,b_diagonal_variance,b_diagonal_skewness,b_diagonal_kurtosis,took_by_motox
MotoX,(MotoX)191.jpg,train/Motorola-X/(MotoX)191.jpg,-0.01066137514,13.36638533,0.6819192346,45.91016097,-0.007913617852,13.10134021,0.7091948608,48.8104503,-0.005439915605,12.7943138,0.7359787104,48.89022252,-0.03655817316,20.69316331,-0.7888454289,80.60065441,-0.04157883837,20.40749033,-0.8094114863,85.96150859,-0.04654776752,19.90105683,-0.7827288637,85.86183588,4.97E-05,2.137641661,0.04694655507,36.14904466,-0.0001251505189,2.095840528,0.06114894108,37.57796472,-0.000257988416,2.088418621,0.05742722088,36.77889329,1
MotoX,(MotoX)46.jpg,train/Motorola-X/(MotoX)46.jpg,0.1025055972,204.3433993,0.4765088643,32.35753227,0.08466175074,211.8603828,0.4119402427,31.63997102,0.07057084396,200.9439052,0.4306326316,31.91416669,0.0980840478,242.6501402,-0.2900318583,23.40902322,0.07960022712,248.4291278,-0.3275286337,23.62409452,0.06686829507,235.4595402,-0.2970106283,23.69718575,0.02992004512,22.96317652,0.02799471805,28.92591715,0.0352526257,23.34405007,0.040047326,28.28570486,0.03659115201,22.95795757,0.05878331282,28.21202181,1
MotoX,(MotoX)109.jpg,train/Motorola-X/(MotoX)109.jpg,0.0592101288,85.25748218,0.853367822,34.15308949,0.05454763776,87.02694586,0.7784399822,33.81966468,0.04513478895,80.75773231,0.6949085256,34.39932994,0.01533216854,149.3431253,-0.8323128133,27.22171614,0.01223651895,151.8519487,-0.8246169369,27.34459988,0.01563558936,141.1320195,-0.7227886686,27.65317103,0.01981929126,13.14376368,-0.09200288238,26.8764777,0.02024886196,13.20109016,-0.07226640374,26.7317481,0.02045073251,13.00917846,-0.07968519291,27.16864946,1
MotoX,(MotoX)148.jpg,train/Motorola-X/(MotoX)148.jpg,0.05233778556,159.4943315,0.4174447279,19.48008635,0.01323710811,158.3034702,0.3322962859,18.75874346,0.004628666572,152.7556138,0.297919846,19.07632826,-0.05703900176,226.0704619,-0.1274846108,16.4501032,-0.07814210442,227.3684308,-0.1401557203,16.39631082,-0.09287769396,219.5283065,-0.1056141991,16.26381287,0.003321869915,25.87512995,-0.1366655123,17.86349104,0.02739996876,26.4104039,-0.05504334743,17.11256092,0.02885764943,26.24327924,-0.05852526126,17.1923411,1
MotoX,(MotoX)20.jpg,train/Motorola-X/(MotoX)20.jpg,-0.01260545546,192.9410111,0.4833059025,11.04071486,-0.01666460261,196.9615188,0.4901945528,11.14774545,-0.01506243766,197.065805,0.4907964741,11.14768541,0.001881716462,194.8436815,0.1901075066,9.326746376,0.00210468887,198.802417,0.175282049,9.406787342,0.002949397217,198.5706236,0.1707349563,9.381263357,-0.001429852365,24.13854296,0.05736026846,8.413000658,-0.001260115052,24.21108629,0.0527189314,8.387983675,-0.001263958742,24.26868527,0.05143591512,8.38122569,1
MotoX,(MotoX)61.jpg,train/Motorola-X/(MotoX)61.jpg,0.08542824001,152.7032953,0.5191325826,13.48167894,-0.02712133973,159.7522734,0.3897822513,11.92438846,-0.02499495324,158.5184861,0.3937420486,11.83360488,0.1462956715,207.8016572,-0.03127625889,13.78204637,0.07252566739,235.3858891,0.04274964387,13.14172404,0.07201405314,232.772283,0.0300210376,12.92157562,-0.01340294408,23.74754405,0.1183613661,13.35963167,0.06538914739,25.8992635,0.2624826396,11.48522638,0.06448818665,25.85006982,0.2602751739,11.42671947,1
MotoX,(MotoX)180.jpg,train/Motorola-X/(MotoX)180.jpg,-0.04716696663,16.69175189,0.04923635209,13.54317333,-0.04264367479,16.64499287,0.05721042471,13.915651,-0.0431335722,16.62107905,0.06141377884,13.90494541,0.06016320996,22.0360606,0.4375939568,15.56095736,0.0595473933,21.99907565,0.4434124607,15.8339895,0.06314187687,21.88518535,0.4437553557,15.92863548,0.01095205413,3.616790932,0.680348808,24.01186926,0.01078416179,3.596041273,0.688150149,24.43847358,0.0107263527,3.609161028,0.6860994854,24.29819306,1
MotoX,(MotoX)48.jpg,train/Motorola-X/(MotoX)48.jpg,0.1056919771,94.72989842,0.2521093518,27.39396981,0.09427904538,106.8915431,0.2135417073,25.83816147,0.08783854061,102.707849,0.1689475128,26.38367081,0.05733008434,142.2440332,0.3335921381,24.67534517,0.02621897605,161.1180212,0.2673849055,23.26652626,0.01158995278,155.5356899,0.2260096908,23.61177352,-0.02900294088,18.41340366,-0.4103084788,23.0692171,0.004460985633,19.63908359,-0.139539728,22.40674337,-0.00151610475,19.34505144,-0.1769079262,22.70533392,1
MotoX,(MotoX)36.jpg,train/Motorola-X/(MotoX)36.jpg,0.004831843981,33.16307474,0.1605851436,36.52434536,0.00276499623,33.5508122,0.1280094694,38.54036235,0.000495797464,33.33238404,0.1074154677,37.42296861,-0.04802812596,42.75598358,-0.01875905124,32.88847531,-0.05075695308,43.49193938,-0.0931850545,35.04029325,-0.05229654277,43.13521214,-0.0989724813,34.51416206,0.01492181629,6.439060734,0.1727181837,10.92509689,0.01617301398,6.441907209,0.1984295684,11.43371949,0.01616455787,6.470808873,0.2004624404,11.40762898,1
MotoX,(MotoX)3.jpg,train/Motorola-X/(MotoX)3.jpg,0.005292913713,65.97345709,0.1453475278,24.65417352,0.01005468724,67.35067126,0.1336072623,21.74967355,0.009605725129,67.17380276,0.1313280379,21.86527744,0.04419737082,80.63280613,-0.09329786462,21.07427083,0.03583876908,82.23425102,-0.1432758347,19.54501512,0.03607008229,82.15207064,-0.1455885724,19.64390506,-0.0001794234097,8.198044898,-0.05387326863,15.58805581,-0.0002629083382,8.315510846,-0.05136373082,15.03515871,-0.0004801536492,8.342041596,-0.05298744161,14.95839423,1
